ExtractDate,Id,Name,Contact,Venue,Cost,Eligibility,CoordinateReferenceSystem,GeoX,GeoY
05/06/2014,hb8EyZFfdwI,0 - 18 months Stay and Play at SeaMoor Children's Centre,"Vicky Rawlings

seamoorcc@actionforchildren.org.uk","SeaMoor Children's Centre
Town Hall, Leonards Road
IVYBRIDGE
DEVON
PL21 0SZ",Free.,up to 1 years 6 months ,WGS84,-3.91915,50.38966
05/06/2014,r6gA40agMMw,1 Church Road,,"Wembdon
Bridgwater
Somerset
TA6 7RQ",,,WGS84,-3.02243,51.13492
05/06/2014,IMhhhv_gT0s,1-4 Windsor Drive,"Mrs. D Fogden
Registered Manager
01626 865224
windsor.drive@guinness.org.uk","Exeter Road
Dawlish
Devon
EX7 0NS",,,WGS84,-3.46464,50.60011
05/06/2014,gvS8IyRoXj0,10 to 13 Session at Bungalow Youth Project,newton.youth@devon.gov.uk,"Victoria Park Lodge
Plymouth Road
BUCKFASTLEIGH
DEVON
TQ11 0DB",50p per session.,from 10 years  up to 13 years ,WGS84,-3.78014,50.47972
05/06/2014,RaC40kjhlhU,100 Club,john.antat@devon.gov.uk,"100 Club
Wear Barton Road
Countess Wear
EXETER
DEVON
EX2 7EH",,from 10 years  up to 19 years ,WGS84,-3.48919,50.69551
05/06/2014,_lh1o-KnYEY,10th Exeter (St James) Scout Group,,"St James Church Hall
Mount Pleasant Road
Stoke Hill
EXETER
DEVON
EX4 7AH",,from 8 years  up to 14 years ,WGS84,-3.51568,50.73356
05/06/2014,iL4g2uaBPFo,10th Exeter Boy's Brigade Company,"Roger Lentle
Captain
01395 513125
rlentle@aol.com","Heavitree United Reformed Church
Fore Street
Heavitree
EXETER
DEVON
EX1 2QJ",£70 per year.,from 5 years  up to 18 years ,WGS84,-3.5078,50.72198
05/06/2014,NJ9CdID8hQU,11am Sunday Morning at Uffculme,selina@thegarners.me.uk,"St Mary's Anglican Church
Bridge Street
Uffculme
CULLOMPTON
DEVON
EX15 3AX",Free.,up to 99 years ,WGS84,-3.32564,50.90555
05/06/2014,8E7YtaYCVaY,121 Fitness,info@121-fitness.com,"142
Queen Street
NEWTON ABBOT
DEVON
TQ12 2EZ",Single gym use: £7.50.,from 12 years  up to 94 years ,WGS84,-3.60085,50.53042
05/06/2014,LC_9tTMsknE,12th North Devon (Pilton) Scout Group,"Terry Chaplin
Group Scout Leader
01271 342590
terry@chaplin.eclipse.co.uk","Pilton Church Hall
Pilton Street
Pilton
BARNSTAPLE
DEVON
EX31 1PQ",£25 per term,from 6 years  up to 14 years ,WGS84,-4.06182,51.08686
05/06/2014,VsxAqQkPl1o,13 to 19 Session at Bungalow Youth Project,newton.youth@devon.gov.uk,"Victoria Park Lodge
Plymouth Road
BUCKFASTLEIGH
DEVON
TQ11 0DB",50p per session.,from 13 years  up to 19 years ,WGS84,-3.78014,50.47972
05/06/2014,_7nx5OQgKqs,The 16-24 Work Club,"Anji Chant
Project leader
07864 060652
info@kingsbridgeworkclub.com","Ilbert Road
Kingsbridge
TQ7 1DZ",Free,,WGS84,-3.77743,50.2829
05/06/2014,sie9JHuu6d8,16th Exeter (Emmanuel) Scout Group,,"Scout HQ
Emmanuel Road
St Thomas
EXETER
DEVON
EX4 1EJ",,from 6 years  up to 14 years ,WGS84,-3.54374,50.72026
05/06/2014,T7k-zaRZL6s,17th Exeter (Alphington) Scout Group,,"Scout Hut
Clapper Brook Lane
Alphington
EXETER
DEVON
EX2 8TE",,from 6 years  up to 14 years ,WGS84,-3.53273,50.70016
05/06/2014,dag7fNE29Sg,19th Exeter (Sea Scouts) Scout Group,,"Scout Hut
The Quay
Exeter Quay
EXETER
DEVON
EX2 4AN",,from 6 years  up to 14 years ,WGS84,-3.53078,50.71868
05/06/2014,oiOucKdSLXU,1st Ashburton Brownies,join.us@girlguiding.org.uk,"St Andrew's Church Hall
West Street
Ashburton
NEWTON ABBOT
DEVON
TQ13 7DT",£7.50 per half term.,from 7 years  up to 11 years ,WGS84,-3.75661,50.51501
05/06/2014,20ao6Z5XYQM,1st Ashburton Scout Group,1stashburton@teignbridgescouts.co.uk,"Old Pottery
Woodland Road
Ashburton
NEWTON ABBOT
DEVON
TQ13 7DR",,from 6 years  up to 8 years ,WGS84,-3.7537,50.51563
